ortho_dose,pipe_material,date,location,lead,lead_dissolved,lead_part,cens_lead_part,cens_lead_dissolved,date_yday,date_numeric,scaled_lead_dissolved,scaled_lead_part,scaled_lead,d_x
1.0,Pb #2,2018-09-25,LP23,0.0081,0.0074,6.999999999999992e-4,none,none,0.7342465753424657,1.7342465753424658,0.12280881593361877,-0.5224137254413548,1.057607035482987,1
1.0,Pb #2,2018-10-03,LP23,0.0077,0.0074,2.999999999999999e-4,none,none,0.7561643835616438,1.7561643835616438,0.12280881593361877,-1.0691676088907787,1.0249270785450861,1.1428571428571428
1.0,Pb #2,2018-10-10,LP23,0.0095,0.0087,8.000000000000004e-4,none,none,0.7753424657534247,1.7753424657534247,0.20998625818619326,-0.4362470880719366,1.160484356871664,1
1.0,Pb #2,2018-10-17,LP23,0.006699999999999999,0.0049,0.0017999999999999995,none,none,0.7945205479452054,1.7945205479452055,-0.09924861729944215,0.08703907332606424,0.9351588063234788,1
1.0,Pb #2,2018-10-24,LP23,0.0066,0.0062,4.000000000000002e-4,none,none,0.8136986301369863,1.8136986301369862,0.027504328450647226,-0.883528888830858,0.9254549958545826,1
1.0,Pb #2,2018-10-31,LP23,0.0089,0.0083,5.999999999999998e-4,none,none,0.8328767123287671,1.8328767123287673,0.1846331408777701,-0.6218858081318579,1.1183852198886974,1
1.0,Pb #2,2018-11-06,LP23,0.0073,0.0061,0.0011999999999999997,none,none,0.8493150684931506,1.8493150684931505,0.01874552889563811,-0.17460400737293647,0.9905033847289492,0.8571428571428571
1.0,Pb #2,2018-11-13,LP23,0.0065,0.0051,0.0013999999999999993,none,none,0.8684931506849315,1.8684931506849316,-0.07769957162154094,-0.07513192468243343,0.915603029895233,1
1.0,Pb #2,2018-11-20,LP23,0.0071,0.006,0.0011000000000000003,none,none,0.8876712328767123,1.8876712328767122,0.009841949255324504,-0.23075168636226034,0.9725774754753429,1
1.0,Pb #2,2018-11-27,LP23,0.0075,0.006,0.0014999999999999996,none,none,0.9068493150684932,1.9068493150684933,0.009841949255324504,-0.03061142937682816,1.0079447501371228,1
1.0,Pb #2,2018-12-04,LP23,0.0061,0.0049,0.0012000000000000005,none,none,0.9260273972602739,1.926027397260274,-0.09924861729944215,-0.17460400737293588,0.8746183858245978,1
1.0,Pb #2,2018-12-18,LP23,0.0075,0.0074,2e-4,left,none,0.9643835616438357,1.9643835616438357,0.12280881593361877,-1.33081068958978,1.0079447501371228,2
1.0,Pb #2,2019-01-02,LP23,0.0052,0.0044,7.999999999999995e-4,none,none,0.005479452054794521,2.0054794520547947,-0.15722433782322207,-0.4362470880719372,0.7716104518991247,2.142857142857143
1.0,Pb #2,2019-01-09,LP23,0.008,0.0023,0.0057,none,none,0.024657534246575342,2.0246575342465754,-0.5066469167936214,0.8308530588156351,1.0495908922009354,1
1.0,Pb #2,2019-01-16,LP23,0.0072,0.0021,0.0051,none,none,0.043835616438356165,2.043835616438356,-0.555649256678658,0.7590801312788502,0.9816026748439071,1
1.0,Pb #2,2019-01-23,LP23,0.0057,0.0022,0.0035,none,none,0.06301369863013699,2.063013698630137,-0.5305910500286449,0.5161424540725968,0.8308530588156351,1
1.0,Pb #2,2019-01-29,LP23,0.0058,0.0027,0.0030999999999999995,none,none,0.07945205479452055,2.0794520547945208,-0.4202776581947301,0.43782935667434475,0.8420757979634975,0.8571428571428571
1.0,Pb #2,2019-02-05,LP23,0.0052,0.0014,0.0037999999999999996,none,none,0.09863013698630137,2.0986301369863014,-0.774054782336378,0.5692099781166344,0.7716104518991247,1
