type,ortho_dose,pipe_material,date,location,value,bdl
lead_dissolved,0-0.5,Pb #1,2017-11-07,LP12,0.1142,FALSE
lead,0-0.5,Pb #2,2017-11-07,LP13,0.1402,FALSE
lead_dissolved,0-0.5,Pb #2,2017-11-07,LP13,0.1325,FALSE
lead,0-0.5,Cu/Pb-Sn,2017-11-07,LP15,5e-4,FALSE
lead_dissolved,0-0.5,Cu/Pb-Sn,2017-11-07,LP15,4e-4,FALSE
lead,1.0,Pb-Cu,2017-11-07,LP21,0.0062,FALSE
lead_dissolved,1.0,Pb-Cu,2017-11-07,LP21,0.0057,FALSE
lead,1.0,Pb #1,2017-11-07,LP22,0.134,FALSE
lead_dissolved,1.0,Pb #1,2017-11-07,LP22,0.1278,FALSE
lead,1.0,Pb #2,2017-11-07,LP23,0.1417,FALSE
lead_dissolved,1.0,Pb #2,2017-11-07,LP23,0.1344,FALSE
lead,1.0,Cu/Pb-Sn,2017-11-07,LP25,3e-4,FALSE
lead_dissolved,1.0,Cu/Pb-Sn,2017-11-07,LP25,2e-4,FALSE
lead,2.0-0.75,Pb-Cu,2017-11-07,LP31,0.012,FALSE
lead_dissolved,2.0-0.75,Pb-Cu,2017-11-07,LP31,0.0114,FALSE
lead,2.0-0.75,Pb #1,2017-11-07,LP32,0.1477,FALSE
lead_dissolved,2.0-0.75,Pb #1,2017-11-07,LP32,0.1432,FALSE
lead,2.0-0.75,Pb #2,2017-11-07,LP33,0.1385,FALSE
lead_dissolved,2.0-0.75,Pb #2,2017-11-07,LP33,0.1323,FALSE
lead,2.0-0.75,Cu/Pb-Sn,2017-11-07,LP35,4e-4,FALSE
lead_dissolved,2.0-0.75,Cu/Pb-Sn,2017-11-07,LP35,3e-4,FALSE
lead,0-0.5,Pb-Cu,2017-11-14,LP11,0.0036,FALSE
lead_dissolved,0-0.5,Pb-Cu,2017-11-14,LP11,0.0032,FALSE
lead,0-0.5,Pb #1,2017-11-14,LP12,0.1009,FALSE
lead_dissolved,0-0.5,Pb #1,2017-11-14,LP12,0.0942,FALSE
lead,0-0.5,Pb #2,2017-11-14,LP13,0.1175,FALSE
lead_dissolved,0-0.5,Pb #2,2017-11-14,LP13,0.109,FALSE
lead,0-0.5,Cu/Pb-Sn,2017-11-14,LP15,4e-4,FALSE
lead_dissolved,0-0.5,Cu/Pb-Sn,2017-11-14,LP15,3e-4,FALSE
lead,1.0,Pb-Cu,2017-11-14,LP21,0.0081,FALSE
lead_dissolved,1.0,Pb-Cu,2017-11-14,LP21,0.0072,FALSE
lead,1.0,Pb #1,2017-11-14,LP22,0.1153,FALSE
lead_dissolved,1.0,Pb #1,2017-11-14,LP22,0.1086,FALSE
lead,1.0,Pb #2,2017-11-14,LP23,0.1211,FALSE
lead_dissolved,1.0,Pb #2,2017-11-14,LP23,0.1134,FALSE
lead,1.0,Cu/Pb-Sn,2017-11-14,LP25,2e-4,FALSE
