location,ortho_dose,pipe_material,date,date_numeric,pk_vals_diss,pk_vals_part
LP21,1.0,Pb-Cu,2020-12-09,3.939890710382514,0.15020804226586654,-0.008290523217459704
LP21,1.0,Pb-Cu,2020-12-15,3.956284153005464,0.10333585609688276,0.11100454346116911
LP21,1.0,Pb-Cu,2021-01-05,4.013698630136986,0.30206380172355624,0.11600286903667154
LP21,1.0,Pb-Cu,2021-01-13,4.035616438356165,0.1196077577335398,0.06322688106697139
LP21,1.0,Pb-Cu,2021-01-19,4.052054794520548,0.008597785295710288,-0.0696463114456704
LP21,1.0,Pb-Cu,2021-01-26,4.071232876712329,-0.1802950970298439,0.0015160065535189914
LP21,1.0,Pb-Cu,2021-02-02,4.090410958904109,0.06820471015897309,0.03165653933914125
LP21,1.0,Pb-Cu,2021-02-09,4.109589041095891,0.06505426096779415,0.07216490768939507
LP21,1.0,Pb-Cu,2021-02-17,4.131506849315069,0.08704963965417581,0.06526638719479139
LP21,1.0,Pb-Cu,2021-02-23,4.147945205479452,0.06221115042030016,0.038682602276054495
LP21,1.0,Pb-Cu,2021-03-09,4.186301369863013,0.05737418555373301,0.01780584649164727
LP21,1.0,Pb-Cu,2021-03-23,4.2246575342465755,0.11774802448968819,-0.0020046935329968117
LP21,1.0,Pb-Cu,2021-04-06,4.263013698630137,0.12432666699493924,0.027061853398144483
LP21,1.0,Pb-Cu,2021-04-21,4.304109589041096,0.043307296295190645,0.12212324937527977
LP21,1.0,Pb-Cu,2021-05-06,4.345205479452055,-0.2500746226074614,0.10380666344614226
LP21,1.0,Pb-Cu,2021-05-19,4.380821917808219,0.05176764709508595,-0.04551724551571705
LP21,1.0,Pb-Cu,2021-06-01,4.416438356164384,-0.07140010572376625,0.05284648883058818
LP21,1.0,Pb-Cu,2021-06-15,4.454794520547945,-0.05804822815080147,0.050623723911926335
LP21,1.0,Pb-Cu,2021-06-29,4.493150684931507,-0.11085994850304329,0.10223066745773678
LP21,1.0,Pb-Cu,2021-07-13,4.531506849315068,0.013600270541902305,0.19354295060313662
