date,location,param,value,units,bdl,ortho_dose,pipe_material,detection_limit
2017-10-04,LP25,Lead Dissolved,4e-4,mg/L,FALSE,1.0,Cu/Pb-Sn,2e-4
2017-10-04,LP2A,Iron,0.013,mg/L,FALSE,1.0,NA,0.005
2017-10-04,LP2A,Lead,2e-4,mg/L,TRUE,1.0,NA,2e-4
2017-10-04,LP2A,Lead Dissolved,2e-4,mg/L,TRUE,1.0,NA,2e-4
2017-10-04,LP3,Iron,0.009,mg/L,FALSE,2.0-0.75,NA,0.005
2017-10-04,LP3,Lead,0.0011,mg/L,FALSE,2.0-0.75,NA,2e-4
2017-10-04,LP3,Lead Dissolved,2e-4,mg/L,TRUE,2.0-0.75,NA,2e-4
2017-10-04,LP31,Iron,0.009,mg/L,FALSE,2.0-0.75,Pb-Cu,0.005
2017-10-04,LP31,Lead,0.0226,mg/L,FALSE,2.0-0.75,Pb-Cu,2e-4
2017-10-04,LP31,Lead Dissolved,0.0212,mg/L,FALSE,2.0-0.75,Pb-Cu,2e-4
2017-10-04,LP32,Iron,0.009,mg/L,FALSE,2.0-0.75,Pb #1,0.005
2017-10-04,LP32,Lead,0.2959,mg/L,FALSE,2.0-0.75,Pb #1,2e-4
2017-10-04,LP32,Lead Dissolved,0.2799,mg/L,FALSE,2.0-0.75,Pb #1,2e-4
2017-10-04,LP33,Iron,0.009,mg/L,FALSE,2.0-0.75,Pb #2,0.005
2017-10-04,LP33,Lead,0.2612,mg/L,FALSE,2.0-0.75,Pb #2,2e-4
2017-10-04,LP33,Lead Dissolved,0.2476,mg/L,FALSE,2.0-0.75,Pb #2,2e-4
2017-10-04,LP34,Iron,0.009,mg/L,FALSE,2.0-0.75,Cu,0.005
2017-10-04,LP34,Lead,2e-4,mg/L,TRUE,2.0-0.75,Cu,2e-4
2017-10-04,LP34,Lead Dissolved,2e-4,mg/L,TRUE,2.0-0.75,Cu,2e-4
2017-10-04,LP35,Iron,0.009,mg/L,FALSE,2.0-0.75,Cu/Pb-Sn,0.005
2017-10-04,LP35,Lead,3e-4,mg/L,FALSE,2.0-0.75,Cu/Pb-Sn,2e-4
2017-10-04,LP35,Lead Dissolved,2e-4,mg/L,FALSE,2.0-0.75,Cu/Pb-Sn,2e-4
2017-10-04,LP3A,Iron,0.15,mg/L,FALSE,2.0-0.75,NA,0.005
2017-10-04,LP3A,Lead,2e-4,mg/L,TRUE,2.0-0.75,NA,2e-4
2017-10-04,LP3A,Lead Dissolved,2e-4,mg/L,TRUE,2.0-0.75,NA,2e-4
2017-10-12,LP1,Iron,0.009,mg/L,FALSE,0-0.5,NA,0.005
2017-10-12,LP1,Lead,2e-4,mg/L,TRUE,0-0.5,NA,2e-4
2017-10-12,LP1,Lead Dissolved,2e-4,mg/L,TRUE,0-0.5,NA,2e-4
2017-10-12,LP11,Iron,0.008,mg/L,FALSE,0-0.5,Pb-Cu,0.005
2017-10-12,LP11,Lead,0.0211,mg/L,FALSE,0-0.5,Pb-Cu,2e-4
2017-10-12,LP11,Lead Dissolved,0.02,mg/L,FALSE,0-0.5,Pb-Cu,2e-4
2017-10-12,LP12,Iron,0.008,mg/L,FALSE,0-0.5,Pb #1,0.005
2017-10-12,LP12,Lead,0.2373,mg/L,FALSE,0-0.5,Pb #1,2e-4
2017-10-12,LP12,Lead Dissolved,0.229,mg/L,FALSE,0-0.5,Pb #1,2e-4
2017-10-12,LP13,Iron,0.008,mg/L,FALSE,0-0.5,Pb #2,0.005
2017-10-12,LP13,Lead,0.2611,mg/L,FALSE,0-0.5,Pb #2,2e-4
2017-10-12,LP13,Lead Dissolved,0.2511,mg/L,FALSE,0-0.5,Pb #2,2e-4
2017-10-12,LP14,Iron,0.008,mg/L,FALSE,0-0.5,Cu,0.005
2017-10-12,LP14,Lead,2e-4,mg/L,TRUE,0-0.5,Cu,2e-4
2017-10-12,LP14,Lead Dissolved,2e-4,mg/L,TRUE,0-0.5,Cu,2e-4
2017-10-12,LP15,Iron,0.008,mg/L,FALSE,0-0.5,Cu/Pb-Sn,0.005
2017-10-12,LP15,Lead,9e-4,mg/L,FALSE,0-0.5,Cu/Pb-Sn,2e-4
2017-10-12,LP15,Lead Dissolved,7e-4,mg/L,FALSE,0-0.5,Cu/Pb-Sn,2e-4
2017-10-12,LP1A,Iron,0.017,mg/L,FALSE,0-0.5,NA,0.005
2017-10-12,LP1A,Lead,2e-4,mg/L,TRUE,0-0.5,NA,2e-4
2017-10-12,LP1A,Lead Dissolved,2e-4,mg/L,TRUE,0-0.5,NA,2e-4
2017-10-12,LP2,Iron,0.009,mg/L,FALSE,1.0,NA,0.005
2017-10-12,LP2,Lead,2e-4,mg/L,TRUE,1.0,NA,2e-4
2017-10-12,LP2,Lead Dissolved,2e-4,mg/L,TRUE,1.0,NA,2e-4
2017-10-12,LP22,Iron,0.008,mg/L,FALSE,1.0,Pb #1,0.005
2017-10-12,LP22,Lead,0.2416,mg/L,FALSE,1.0,Pb #1,2e-4
2017-10-12,LP22,Lead Dissolved,0.2308,mg/L,FALSE,1.0,Pb #1,2e-4
2017-10-12,LP23,Iron,0.01,mg/L,FALSE,1.0,Pb #2,0.005
2017-10-12,LP23,Lead,0.2315,mg/L,FALSE,1.0,Pb #2,2e-4
2017-10-12,LP23,Lead Dissolved,0.2244,mg/L,FALSE,1.0,Pb #2,2e-4
2017-10-12,LP24,Iron,0.008,mg/L,FALSE,1.0,Cu,0.005
2017-10-12,LP24,Lead,2e-4,mg/L,TRUE,1.0,Cu,2e-4
2017-10-12,LP24,Lead Dissolved,2e-4,mg/L,TRUE,1.0,Cu,2e-4
2017-10-12,LP25,Iron,0.008,mg/L,FALSE,1.0,Cu/Pb-Sn,0.005
2017-10-12,LP25,Lead,5e-4,mg/L,FALSE,1.0,Cu/Pb-Sn,2e-4
2017-10-12,LP25,Lead Dissolved,4e-4,mg/L,FALSE,1.0,Cu/Pb-Sn,2e-4
2017-10-12,LP2A,Iron,0.013,mg/L,FALSE,1.0,NA,0.005
2017-10-12,LP2A,Lead,2e-4,mg/L,TRUE,1.0,NA,2e-4
2017-10-12,LP2A,Lead Dissolved,2e-4,mg/L,TRUE,1.0,NA,2e-4
2017-10-12,LP3,Iron,0.009,mg/L,FALSE,2.0-0.75,NA,0.005
2017-10-12,LP3,Lead,2e-4,mg/L,TRUE,2.0-0.75,NA,2e-4
2017-10-12,LP3,Lead Dissolved,2e-4,mg/L,TRUE,2.0-0.75,NA,2e-4
2017-10-12,LP31,Iron,0.008,mg/L,FALSE,2.0-0.75,Pb-Cu,0.005
2017-10-12,LP31,Lead,0.0464,mg/L,FALSE,2.0-0.75,Pb-Cu,2e-4
2017-10-12,LP31,Lead Dissolved,0.0442,mg/L,FALSE,2.0-0.75,Pb-Cu,2e-4
2017-10-12,LP32,Iron,0.008,mg/L,FALSE,2.0-0.75,Pb #1,0.005
2017-10-12,LP32,Lead,0.2897,mg/L,FALSE,2.0-0.75,Pb #1,2e-4
2017-10-12,LP32,Lead Dissolved,0.2732,mg/L,FALSE,2.0-0.75,Pb #1,2e-4
2017-10-12,LP33,Iron,0.009,mg/L,FALSE,2.0-0.75,Pb #2,0.005
2017-10-12,LP33,Lead,0.2272,mg/L,FALSE,2.0-0.75,Pb #2,2e-4
2017-10-12,LP33,Lead Dissolved,0.2166,mg/L,FALSE,2.0-0.75,Pb #2,2e-4
2017-10-12,LP34,Iron,0.012,mg/L,FALSE,2.0-0.75,Cu,0.005
2017-10-12,LP34,Lead,2e-4,mg/L,TRUE,2.0-0.75,Cu,2e-4
2017-10-12,LP34,Lead Dissolved,2e-4,mg/L,TRUE,2.0-0.75,Cu,2e-4
2017-10-12,LP35,Iron,0.008,mg/L,FALSE,2.0-0.75,Cu/Pb-Sn,0.005
2017-10-12,LP35,Lead,4e-4,mg/L,FALSE,2.0-0.75,Cu/Pb-Sn,2e-4
2017-10-12,LP35,Lead Dissolved,3e-4,mg/L,FALSE,2.0-0.75,Cu/Pb-Sn,2e-4
2017-10-12,LP3A,Iron,0.136,mg/L,FALSE,2.0-0.75,NA,0.005
2017-10-12,LP3A,Lead,2e-4,mg/L,TRUE,2.0-0.75,NA,2e-4
